Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
LRRT4	6572-10	Protein	20	2.715490583932771	0.12550147698987812	529.649804377016	156.79758460687071
FAIM3	6574-11	Protein	0.5	3.846356541601139	0.1774799107472531	6980.17876977251	3263.5454512749134
ATL1	6575-79	Protein	20	2.944209585386995	0.10295796911283683	893.9796977864589	212.81993620201388
ART4	6576-1	Protein	20	3.168984988509125	0.1591515399636021	1496.3957342013175	592.8787700561983
LAMA4	6577-64	Protein	20	2.8016099409666557	0.12132160745583942	640.1468775012906	185.5644098830775
TNMD	6578-29	Protein	20	3.1302650569655035	0.1473331963442217	1376.2218062569873	492.14144508876666
Pregnancy zone protein	6580-29	Protein	0.5	4.26350426538952	0.6313972690049785	13236.964828631815	63062.99470801289
Fc_MOUSE	6581-50	Protein	20	2.291330303672944	0.17808343794948223	212.6333508577266	86.72090767787857
protein Z inhibitor	6583-67	Protein	0.5	4.363550588011961	0.11106750460046966	23016.918922726378	6228.9074123438195
SRCH	6584-1	Protein	20	2.1964340119725017	0.13756625403168687	162.80876717219073	52.105520012466215
ADA11	6586-19	Protein	20	3.7000918773768694	0.14368833570287087	5078.272899891258	1782.9646262044216
LRFN5	6587-6	Protein	20	3.1668001909163945	0.19453408270011918	1453.759345841881	768.5550719106956
Neuropilin-2	6590-54	Protein	20	4.362366576374317	0.10087331423769275	22958.480222205064	5595.473193845186
GALT3	6593-5	Protein	20	2.719836973122255	0.09322140167135173	534.4035125299807	113.30098593836456
SMDC1	6594-64	Protein	20	2.7932615911419427	0.11436470126265452	629.2553431634446	169.89385350135348
TM157	6597-24	Protein	20	3.1215153712976482	0.1586273976718804	1346.4492538765678	528.046563393195
APCD1	6599-5	Protein	20	2.7458981400138747	0.11794383207536252	568.028917925341	156.5837865068491
RELL2	6600-70	Protein	20	2.5766726741731767	0.1750553316368335	390.94915291691416	168.44848938500215
KALM	6603-18	Protein	20	3.1736915101932945	0.1099564315743049	1510.090488309238	390.6051266452076
CD031	6604-59	Protein	20	3.1109954962541395	0.1386334620487193	1313.6307913364014	438.72454400020786
IGFALS	6605-17	Protein	0.005	4.541837906842737	0.1159456975743649	33992.24106782316	9232.35036505821
KISS1	6606-61	Protein	0.5	3.4744337357379584	0.1523841946013127	3042.3570147468354	1131.4166782099662
CN37	6609-22	Protein	20	3.32722579168671	0.14321382965766843	2159.756342618457	776.7588618890952
