SeqId	Target	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD	SeqId
7084-1	DRAXI	Protein	20.0	2.5958266513708734	0.0797801252688564	394.3	1453.6315930059336	7084-1
7085-81	CDSN	Protein	20.0	3.514852664384983	0.18765619368687983	3272.3	1801.495349535573	7085-81
7089-42	SYT11	Protein	20.0	2.691390580374138	0.09674826199607116	491.35	178.80785863449645	7089-42
7090-17	GALT1	Protein	0.5	3.125920057182228	0.07163080946947085	1336.35	368.59090354514933	7090-17
7092-7	PDILT	Protein	20.0	2.926830948700014	0.08647094329565579	844.95	251.19686587624756	7092-7
7096-30	RMD1	Protein	20.0	3.6917253901695655	0.20299548033384915	4917.299999999999	5369.365726787732	7096-30
7097-8	CDY1	Protein	20.0	2.6379897692826484	0.06597468425678286	434.5	135.91595706201963	7097-8
7099-33	FSTL5	Protein	20.0	2.741820959539727	0.09009216810267133	551.85	557.6492582548198	7099-33
7100-31	CD2	Protein	20.0	3.3240950452631024	0.5167811911167549	2109.1	4091.908675055551	7100-31
7104-71	CABP7	Protein	20.0	3.2023520464306126	0.1277167711156863	1593.5	1919.3361124679955	7104-71
7105-7	CABL2	Protein	20.0	2.742724953785945	0.09196194166383628	553.0	212.87007009189722	7105-7
7106-37	PLACL	Protein	20.0	2.884398792275469	0.10681923781852724	766.3	357.1817998804564	7106-37
7108-7	CS077	Protein	20.0	2.4776999283321306	0.06609036555809458	300.4	7028.8259331313375	7108-7
7110-2	DJB11	Protein	20.0	4.222611045438967	0.1946088161314025	16695.95	9677.417076675965	7110-2
7113-1	GRPE1	Protein	20.0	3.243732339108255	0.3069951340388918	1752.8000000000002	3332.8633818020526	7113-1
7115-5	Semenogelin	Protein	0.5	3.6212465344266986	0.08798736561889403	4180.700000000001	900.831213603371	7115-5
7116-31	OSCAR	Protein	20.0	2.528273758103362	0.07305467046115988	337.5	524.7906027576045	7116-31
7117-21	SPI2	Protein	20.0	2.810870425367759	0.08413995596467358	646.95	3480.3005142794646	7117-21
7118-24	IGDC3	Protein	20.0	2.9522594689552246	0.06834336151265476	895.9	276.363815338409	7118-24
7121-2	SYT7	Protein	20.0	2.579897854573117	0.06829203107841154	380.1	119.86487728386956	7121-2
7122-31	LGR5	Protein	20.0	2.6960067064133115	0.0688349998117016	496.6	419.2074095634747	7122-31
